,code,latitude,longitude
0,101,40.41684075966328,-3.7116049269648514
1,201,40.406598370986885,-3.719600393882543
2,301,40.40460617767642,-3.6783618407719887
3,401,40.424699775439976,-3.6854620809356926
4,501,40.44905998434152,-3.6862850484268277
5,601,40.45307086991988,-3.707870111027803
6,701,40.43545682043238,-3.7138092021667597
7,801,40.5248016240405,-3.775465171114021
8,901,40.420716225749295,-3.7479042351441394
9,1001,40.401762426676115,-3.7341831723265293
10,1101,40.39233087847133,-3.713794431948361
11,1201,40.369214698851096,-3.714337459586904
12,1301,40.38006910194395,-3.6726237484629842
13,1401,40.39919892708224,-3.6314244773949134
14,1501,40.4247699366125,-3.6516487304303706
15,1601,40.45279632384676,-3.619071772800488
16,1701,40.34010304818816,-3.7162761295825417
17,1801,40.375690647308815,-3.6256551309507308
18,1901,40.4006416105767,-3.6149510617344673
19,2001,40.4354663909558,-3.6280461239701363
20,2101,40.45624399701978,-3.5946216044147192
21,102,40.40983630217436,-3.7027147791833768
22,202,40.401931609279636,-3.706197550258866
23,302,40.402016196416746,-3.6706458456931492
24,402,40.42568658521791,-3.671782352010295
25,502,40.4442988220295,-3.6730468584006526
26,602,40.45153980179049,-3.697517225782838
27,702,40.434972212054014,-3.707633726661511
28,802,40.480329723393325,-3.7398178454963014
29,902,40.42934906571423,-3.7212816737471024
30,1002,40.410056282167865,-3.7309349388993276
31,1102,40.390972942546476,-3.720989002013611
32,1202,40.369884884605796,-3.700336635711575
33,1302,40.385331033709754,-3.666642847759892
34,1402,40.40914083589263,-3.626620184626152
35,1502,40.42965771117314,-3.6403556861646513
36,1602,40.45356720822675,-3.6302250731562973
37,1702,40.34129336996035,-3.687948435563096
38,1802,40.38398728874189,-3.611844357706074
39,1902,40.39710765188742,-3.616976257946564
40,2002,40.430179534484886,-3.6156733866701525
41,2102,40.453246469569756,-3.5793221712992356
42,103,40.41486691212047,-3.697085411616107
43,203,40.394932822365995,-3.70041421872109
44,303,40.41221215218,-3.6658674641479547
45,403,40.42463466677139,-3.663165192294358
46,503,40.449007324528246,-3.672843705877986
47,603,40.46155945233562,-3.6929484931675964
48,703,40.43278459508221,-3.701046287435551
49,803,40.4006416105767,-3.6149510617344673
50,903,40.45371509880165,-3.735694827554843
51,1003,40.40398727441314,-3.7477312025971585
52,1103,40.39560241799027,-3.7304723446722576
53,1203,40.37175766992464,-3.690007906202338
54,1303,40.38455034543555,-3.66209650561238
55,1403,40.4107346072239,-3.6470220119785206
56,1503,40.43599303510204,-3.647214589954646
57,1603,40.4611239751092,-3.645513661790045
58,1703,40.34037823675988,-3.6753415606452613
59,1803,40.369852422274036,-3.6073463354406208
60,1903,40.39833948998852,-3.606320001880347
61,2003,40.425141812091006,-3.622587375200849
62,2103,40.47410905074287,-3.579923760142537
63,104,40.423300803477446,-3.696125745690806
64,204,40.38923683110096,-3.686400376643445
65,304,40.42002496073794,-3.6739712484833387
66,404,40.43526148413761,-3.6695867334597945
67,504,40.45519932329125,-3.676800141706613
68,604,40.46933845156892,-3.694038022969236
69,704,40.43383526083195,-3.69263572414217
70,804,40.476327459795066,-3.7105462681041033
