,Neighborhood code,Neighborhood name,Venue,Venue Latitude,Venue Longitude,Venue Category
66,101,PALACIO             ,Dehesa Santa María,40.41521986421654,-3.713437962658213,Tapas Restaurant
67,101,PALACIO             ,El Viajero,40.411631823720235,-3.7103431893270384,Tapas Restaurant
68,101,PALACIO             ,Dudua Palacio,40.42171699500072,-3.7134925258995657,Spanish Restaurant
69,101,PALACIO             ,El camarote,40.411621709878865,-3.71074110170837,Restaurant
70,101,PALACIO             ,Cafetería Palacio Real,40.41666546228339,-3.7137007713317867,Breakfast Spot
71,101,PALACIO             ,Pintxame,40.412081,-3.709787,Cafeteria
72,201,IMPERIAL            ,El Landó,40.411899822,-3.71507637,Spanish Restaurant
73,201,IMPERIAL            ,Seoul,40.41105892100128,-3.7180896567617623,Korean Restaurant
74,201,IMPERIAL            ,Taberna Sanlúcar,40.410970654839254,-3.71319061442631,Tapas Restaurant
75,201,IMPERIAL            ,Taberna Almería,40.410716,-3.712309,Tapas Restaurant
76,201,IMPERIAL            ,Los Caracoles,40.40768347870091,-3.7111579284003664,Tapas Restaurant
77,201,IMPERIAL            ,Taberna Errante,40.41098247599251,-3.7127128955849655,Mediterranean Restaurant
78,201,IMPERIAL            ,El Capricho Extremeño,40.407090407096,-3.70826083435309,Tapas Restaurant
79,201,IMPERIAL            ,Juana la Loca Pintxos-Bar,40.41134,-3.711101,Tapas Restaurant
80,201,IMPERIAL            ,Taberna Rayuela,40.41317891156541,-3.7134962971934686,Tapas Restaurant
81,201,IMPERIAL            ,Casa Dani,40.40923486655367,-3.7110553920231495,Tapas Restaurant
82,201,IMPERIAL            ,Pizzeria Mayor,40.412788599966305,-3.7174735135512917,Pizza Place
83,201,IMPERIAL            ,sushi raku,40.404623,-3.708216,Sushi Restaurant
84,201,IMPERIAL            ,Restaurante Los Castaños,40.410113964559535,-3.712272903700864,Spanish Restaurant
85,201,IMPERIAL            ,Xentes,40.40998159530203,-3.710378455989174,Spanish Restaurant
86,201,IMPERIAL            ,Charlie Champagne,40.41393640099747,-3.712647348286377,Restaurant
87,201,IMPERIAL            ,Toga,40.41111841899132,-3.70667299456038,Spanish Restaurant
88,201,IMPERIAL            ,Café Bar Delic,40.41273870787581,-3.711678450125613,Café
